comment,text_clean,sentiment,sentiment_score
aduh ngapain d setop pak . udh aku tebak pak . tinggal ganti nama aj ribet bgt.lagian mana bisa pak .main tutup 2 aj usaha org Alfa sama Indomaret juga nyumbang byk lapangan pekerjaan.pak,aduh ngapain setop pak udh aku tebak pak tinggal ganti nama aj ribet bgt lagian mana pak main tutup aj usaha org alfa sama indomaret nyumbang byk lapangan pekerjaan pak,Negatif,0.9857
"paling bertahan 5 tahun...
yakin se sejahtera nya karyawan se merah sama se biru pemenangnya,,
bonus cair tepat waktu
kalau yg ini GK tau ya yg sejahtera karyawan apa pejabatnya🫩",paling bertahan tahun yakin se sejahtera nya karyawan se merah sama se biru pemenangnya bonus cair tepat waktu kalau yg gk tau yg sejahtera karyawan apa pejabatnya,Positif,0.6104
[Sticker] ,sticker,Positif,0.6144
koprasi apa minimarket🤣😅😅,koprasi apa minimarket,Negatif,0.9154
kocak😅 jogetin lagi ...😅asal omon omon😅😁😂,kocak jogetin asal omon omon,Negatif,0.7362
yang di resmikan bagian bagus2 nya,resmikan bagian bagus nya,Positif,0.4568
Ning daerahku rung dadi hahaa,ning daerahku rung dadi hahaa,Negatif,0.8699
masih bagusan ini displaynya jir😂,bagusan displaynya jir,Positif,0.9923
Kasihan ....,kasihan,Negatif,0.9965
kurang menarikk program dan menatanyaa😭,kurang menarikk program menatanyaa,Negatif,0.9964
habisin biyaya sj,habisin biyaya sj,Negatif,0.9577
materai dll nya 😅 behh,materai nya behh,Negatif,0.4712
Masih bingung dengan sistem Koperasi ini..,bingung sistem koperasi,Negatif,0.9966
"58% kemana woyyy, tanggungjawab donk 😡",woyyy tanggungjawab donk,Negatif,0.9753
apalah ini😭,apalah,Negatif,0.9962
pie to kih mlh ngene kihh😂,pie to kih mlh ngene kihh,Negatif,0.9084
terlalu ci paksakan,terlalu ci paksakan,Negatif,0.9973
masih kalah sama codortmart,kalah sama codortmart,Negatif,0.997
kl lebih murah 80% beli... kl kagak stay alfa indo,kl lebih murah beli kl kagak stay alfa indo,Positif,0.7189
"koperasi duwek entek barang entek""alasan macet di masyrakat",koperasi duwek entek barang entek alasan macet masyrakat,Negatif,0.9963
Mirip 212 mart 😂😂😂,mirip mart,Positif,0.6644
kesan nya kayak toko mau bangkrut😂,kesan nya kayak toko mau bangkrut,Negatif,0.9973
"warung kecil..STOP hutang ( ada uang ada barang )...
kita di ajak hidup masing masing saja..
.",warung kecil stop hutang uang barang ajak hidup masing masing,Negatif,0.7598
GAK AKAN KAMI BELI,gak beli,Negatif,0.9921
30.000.000.000.000.000.000% ini akan mangkrak dan menjadi peninggalan kebijakan asal bunyi,mangkrak menjadi peninggalan kebijakan asal bunyi,Negatif,0.789
terserahlah,terserahlah,Negatif,0.9856
gratisss inii,gratisss inii,Positif,0.986
ada yg minat blanja kesitu?,yg minat blanja kesitu,Netral,0.9032
Pak ini yang harap akan kredit murah harga gas jangan mahal,pak harap kredit murah harga gas jangan mahal,Negatif,0.8489
[Sticker] barangnya social distancing,sticker barangnya social distancing,Netral,0.9398
kok ldr😭,kok ldr,Negatif,0.9895
"iya sama kak,indomarco prismatama it ptnya indomaret kalo indomarco adiprima itu indofood grup.. sama2 punya salim grup..",iya sama kak indomarco prismatama it ptnya indomaret kalo indomarco adiprima indofood grup sama punya salim grup,Netral,0.966
iya masing2 ajh lah,iya masing ajh lah,Netral,0.396
"progam yang buang"" anggaran, dan menadi ladang korup nnti",progam buang anggaran menadi ladang korup nnti,Negatif,0.9965
ldr an?,ldr an,Negatif,0.984
yang gak boleh gitu dong pak dari bertahun tahun kami para rakyat selalu beli di Indomaret dan Alfamart bersaing lah Dengan adill,gak gitu dong pak bertahun tahun rakyat selalu beli indomaret alfamart bersaing lah adill,Positif,0.7856
malu iiihuu🥺🥺🥺,malu iiihuu,Negatif,0.9971
passs,passs,Positif,0.5005
jos semoga harga nya murah,jos semoga harga nya murah,Positif,0.9956
knpa air di taru disitu🤣🤣🤣🤣🤣🤣,knpa air taru disitu,Negatif,0.9873
kaya barisan upacara,kaya barisan upacara,Negatif,0.903
Bnyakk yg kosong brangnya itu🤣🤣 nie konsepnya gmana she aslinya,bnyakk yg kosong brangnya nie konsepnya gmana she aslinya,Negatif,0.932
kaya toko mau bangkrut wkwk,kaya toko mau bangkrut wkwk,Negatif,0.9973
penting yakin lek😂,penting yakin lek,Positif,0.9825
gak akan lama,gak lama,Positif,0.9916
Niat sebenere tp barange tipis po,niat sebenere tp barange tipis po,Negatif,0.9079
bang boleh ketawa ga bang,bang ketawa ga bang,Negatif,0.8799
Buka usaha uang pajak rakyat Indonesia,buka usaha uang pajak rakyat indonesia,Netral,0.846
Ide gk masuk akal,ide gk masuk akal,Negatif,0.9979
Barangnya sama semua gak kyk yang indo/alfa yg barangnya bnyk&beragam,barangnya sama semua gak kyk indo alfa yg barangnya bnyk beragam,Netral,0.3669
Ini tu social distancing iya pak?,tu social distancing iya pak,Netral,0.987
😁 tetep Alfa indo sih🥰,tetep alfa indo sih,Positif,0.9803
😂 jadi reseller,jadi reseller,Netral,0.8658
UMKM yang lain nasibnya gimna,umkm nasibnya gimna,Negatif,0.9686
harga gas beneran ga 16 rb ..😂 jgn jgn gimick aja ...,harga gas beneran ga rb jgn jgn gimick aja,Negatif,0.9471
Mau bangkrut ya kak?,mau bangkrut kak,Negatif,0.9979
presiden lagi membangun bisnisnya,presiden membangun bisnisnya,Netral,0.8133
dsni belum jalan ..malah SDH tutup sebagian 😁...,dsni jalan malah sdh tutup sebagian,Negatif,0.927
"Di tempat gw KDMP jaraknya 1km, alfamart 700M, indomart 800M, warung tetangga gw jg ada basic kebutuhan harian malah samping rumah. Dahlah gw ke warung tetangga gw aja bisa belanja + sekalian berghibah..",tempat gw kdmp jaraknya km alfamart indomart warung tetangga gw jg basic kebutuhan harian malah samping rumah dahlah gw warung tetangga gw aja belanja sekalian berghibah,Positif,0.8794
karepmu😭,karepmu,Positif,0.6049
anak retail menangis lihat ini,anak retail menangis lihat,Negatif,0.9939
Malu sih,malu sih,Negatif,0.998
jgn di beli,jgn beli,Negatif,0.9828
program nya ga salah... yang salah orang-oramg yang culas di balik program nya 🙏,program nya ga salah salah orang oramg culas balik program nya,Negatif,0.9965
Angkat sekalian raknya kak,angkat sekalian raknya kak,Netral,0.9894
[Sticker] Kosong njir🗿,sticker kosong njir,Negatif,0.9967
"pdhl Indomaret Alfamart bnyk promo murah,,",pdhl indomaret alfamart bnyk promo murah,Positif,0.8413
"Planogram ad ilmunya, gak sukur noto podo wernone",planogram ad ilmunya gak sukur noto podo wernone,Negatif,0.8528
masak iyaa,masak iyaa,Positif,0.9151
ya itu terserah pemerintah mau jual apa 😂,terserah pemerintah mau jual apa,Negatif,0.942
Klo kaya gini anggarannya harus lebih besar ka minimal 3M ijin🙏,klo kaya gini anggarannya lebih besar ka minimal ijin,Positif,0.4803
Coba cek Biaya pembangunan Koperasinya 🤭,coba cek biaya pembangunan koperasinya,Netral,0.9975
kayak nya harus rekrut ex indo/alfa deh biar tau plano kayak gimana😭,kayak nya rekrut ex indo alfa deh biar tau plano kayak gimana,Netral,0.8754
ga sama siapa bilang sama...klo malas baca mending tonton debat capres aja mana yg terlihat lbh kompeten..walau tak semua baik tp adalah yg baik2nya makanya cari tau arti keberlanjutan,ga sama siapa bilang sama klo malas baca mending tonton debat capres aja mana yg terlihat lbh kompeten tak semua baik tp yg baiknya makanya cari tau arti keberlanjutan,Negatif,0.837
kok tidak langsung pabrikan,kok langsung pabrikan,Negatif,0.8975
itu buat sarat doang buat laporan ke atasan setelah 1 blnn di tutup. yg penting Dana dah cair,buat sarat doang buat laporan atasan blnn tutup yg penting dana dah cair,Netral,0.952
"makin lm negara makin slh konsep.terus ujung"" nya indomaret di suruh tutup",makin lm negara makin slh konsep terus ujung nya indomaret suruh tutup,Negatif,0.7067
indomarco itu agen warung kecil juga belanja di situ,indomarco agen warung kecil belanja situ,Netral,0.9898
"18 blok, dengerin yang baik",blok dengerin baik,Negatif,0.5184
Gratis ta iku kok gaonok regonee,gratis ta iku kok gaonok regonee,Negatif,0.993
"genah minimarket nak Iki .
yg dijual kaya warung"" desa 😂",genah minimarket nak iki yg dijual kaya warung desa,Negatif,0.9754
ini kamsudnya apalagi ya Allah….. cape bangeeeet jadi warga konoha ini 🥺,kamsudnya allah cape bangeeeet jadi warga konoha,Negatif,0.8875
apakah ini tidak menyaingi masyarakatnya nanti ...kesian nanti umim kecil harus bersaing ..,menyaingi masyarakatnya kesian umim kecil bersaing,Negatif,0.9849
kaya ga niat...,kaya ga niat,Negatif,0.9976
perasaan harga nya sama aja kaya di indomaret,perasaan harga nya sama aja kaya indomaret,Netral,0.8467
bos hrsnya kopdes itu khusus ntuk d perlukan ntuk kebutuhan pertanian. biar para petani gampang cr kebutuhan pertanian. KLO anda.menutup indo & Alfa mk anda hrs bertanggung jwb atas pHk beribu karyawan mrk.,bos hrsnya kopdes khusus ntuk perlukan ntuk kebutuhan pertanian biar petani gampang cr kebutuhan pertanian klo menutup indo alfa mk hrs bertanggung jwb atas phk beribu karyawan mrk,Netral,0.8107
huhu,huhu,Negatif,0.9412
"klo gitu bapak menciptakan pengangguran besar2 an dong,bapak sendiri yg bilang Indomaret dan Alfamart 20 ribu ritel bayangkan akan berapa banyak pengangguran ex karyawan 2 ritel tersebut.sementara karyawan kopdes udah diseleksi dan yg keterima adalah org2 tertentu
hadehhh makin kacau negara ini🤦",klo gitu bapak menciptakan pengangguran besar an dong bapak sendiri yg bilang indomaret alfamart ribu ritel bayangkan berapa banyak pengangguran ex karyawan ritel tersebut karyawan kopdes udah diseleksi yg keterima org tertentu hadehhh makin kacau negara,Negatif,0.9976
itu mainroadnya gimana? sempit amat msu lewat,mainroadnya gimana sempit msu lewat,Negatif,0.9874
hidup macam apa ini,hidup macam apa,Negatif,0.9872
kok kebanyakan raknya kosong gitu padahal bru buka loh😭😭🤣,kok kebanyakan raknya kosong gitu padahal bru buka loh,Negatif,0.9874
kaya main toko tokoan🙏,kaya main toko tokoan,Negatif,0.9859
kebesaran tempat dagangan minim,kebesaran tempat dagangan minim,Negatif,0.9938
di gandeng pak bukan ditutup.... masyarakat juga itu...,gandeng pak bukan ditutup masyarakat,Negatif,0.9037
sibuk bangun pencitraan terus..,sibuk bangun pencitraan terus,Negatif,0.9976
Bakalan Bangkrut gak akan bertahan lama,bakalan bangkrut gak bertahan lama,Negatif,0.9903
pling ngk lama,pling ngk lama,Negatif,0.9966
mending o save,mending save,Negatif,0.5217
"maklum postingan sy liat rata2 menuju kesana, klo pilihan kalah y gini barisan sakit hati",maklum postingan sy liat rata menuju kesana klo pilihan kalah gini barisan sakit hati,Negatif,0.9969
betul,betul,Positif,0.9922
Kok setara WALMART,kok setara walmart,Positif,0.4472
APA INI?😂,apa,Negatif,0.982
😂😂😂Nahhh kan,nahhh kan,Positif,0.9048
kenapa beli barang ternyata belum bisa d beli... lah ngapain d taruh d rak klu gk bisa d beli,beli barang ternyata beli lah ngapain taruh rak klu gk beli,Negatif,0.9756
ni tempat niat ga sih😭😭😭😭😭,ni tempat niat ga sih,Negatif,0.7883
info loker ka. di tempatku yg kerja kerabat deket perangkat desa+ordal 😂,info loker ka tempatku yg kerja kerabat deket perangkat desa ordal,Netral,0.9891
social distensing ki jogo jarak soale,social distensing ki jogo jarak soale,Negatif,0.8052
harganya lebih mirah dr pasaran soale gak pake pajak dan gaji karyawan 1.9 itupun klo koperasinya jalan😂,harganya lebih mirah dr pasaran soale gak pake pajak gaji karyawan itupun klo koperasinya jalan,Positif,0.949
benarkah lpg 3kg 16rb kak?,benarkah lpg kg rb kak,Netral,0.9969
"nanti lama2 jg jadi cerita anak cucu kita sj,lihat sj gak sampai bertahun2",lama jg jadi cerita anak cucu sj lihat sj gak bertahun,Negatif,0.9876
sebenarnya pemerintah kita itu gampang bgt bikin program tapi gak bisa bikin rakyat ny hidup enak masih byk yg miskin,sebenarnya pemerintah gampang bgt bikin program gak bikin rakyat ny hidup enak byk yg miskin,Negatif,0.7341
surem amay tokonya,surem amay tokonya,Positif,0.8973
gush belanja di kmp 🤭,gush belanja kmp,Negatif,0.8141
PROJECT SYARAT KORUPSI UANG RAKYAT..,project syarat korupsi uang rakyat,Negatif,0.9916
ini mah ngada2in proker aja biar duitnya cair😁 guna kg,mah ngadain proker aja biar duitnya cair kg,Negatif,0.914
sepertinya kdmp itu ada juga ka simpan pinjam,sepertinya kdmp ka simpan pinjam,Negatif,0.9539
menteri ini di Reshuffle aja pak bikin Gaduhh,menteri reshuffle aja pak bikin gaduhh,Negatif,0.9946
yg d jual kecap bangau,yg jual kecap bangau,Netral,0.8712
Cuma buat ajang korupsi doang 😂,cuma buat ajang korupsi doang,Negatif,0.9975
"sekarang pemerintah ikut""buka warung sembako.",sekarang pemerintah ikut buka warung sembako,Netral,0.9957
di batasi di tinjau lewat kk,batasi tinjau lewat kk,Netral,0.9887
lebih murah di madura le minarele msih 3rb ada kok🤣🤣,lebih murah madura le minarele msih rb kok,Positif,0.9626
info loker mau kerja jugaaa😭,info loker mau kerja jugaaa,Netral,0.9686
apaan siii,apaan siii,Negatif,0.9967
Kosong gtu anjir,kosong gtu anjir,Negatif,0.9976
Klw begini....Indomaret bakalan banyak yg tutup diganti sama KOPDES.Hidup KOPDES🤣🤣🤣,klw begini indomaret bakalan banyak yg tutup diganti sama kopdes hidup kopdes,Negatif,0.5452
takut bersaing...aneh bnr...sama donk berjalan biar masyarakat yg memilih,takut bersaing aneh bnr sama donk berjalan biar masyarakat yg memilih,Negatif,0.9949
lebih baik beli di warung tutup di hari kiamat,lebih baik beli warung tutup hari kiamat,Negatif,0.9914
udah palig ujung ujungnya jadi es er ce qkwkwk,udah palig ujung ujungnya jadi es er ce qkwkwk,Negatif,0.926
[Sticker] ,sticker,Positif,0.6144
katanya mau mensejahterakan UMKM eh malah buat saingan untuk UMKM masyarakat 😳😳,katanya mau mensejahterakan umkm eh malah buat saingan umkm masyarakat,Negatif,0.9941
terlalu ci paksakan,terlalu ci paksakan,Negatif,0.9973
solusi apelah,solusi apelah,Positif,0.9539
sakarepmu..ku tetep belanja di pasar 😂,sakarepmu ku tetep belanja pasar,Positif,0.978
beli ke warung atau toko yg deket rumah aja sama ke indomaret / alfa,beli warung toko yg deket rumah aja sama indomaret alfa,Netral,0.9448
ngarang,ngarang,Negatif,0.9474
joh... iki jajanne di samplok ambrok kabeh😭,joh iki jajanne samplok ambrok kabeh,Negatif,0.9956
kok kaya mau bangkrut kosong semua itu niat ga sih buat jangka panjang,kok kaya mau bangkrut kosong semua niat ga sih buat jangka panjang,Negatif,0.996
Takut Kalah BERSAING....,takut kalah bersaing,Negatif,0.9975
ujung2ny bkln jadi bangunan mangkrak.,ujungny bkln jadi bangunan mangkrak,Negatif,0.9928
🤣🤣🤣dihati saya sebenarnya mustahil kopdes berjalan🤣,dihati sebenarnya mustahil kopdes berjalan,Negatif,0.9171
Beli rak,beli rak,Netral,0.9523
belum tutup ka?,tutup ka,Netral,0.7874
Pokok sing ora 16.000 langsung unggahne 🤣,pokok sing ora langsung unggahne,Negatif,0.9647
"yg kerja nanti sodara,,nya semua😅😅",yg kerja sodara nya semua,Positif,0.8162
"anggaran KDMP fiktif banget, korupsi nyata",anggaran kdmp fiktif banget korupsi nyata,Negatif,0.9979
itu gratis ya??,gratis,Positif,0.9908
